"Customer","FamilyMembers","Lifestage","Model","rocauc"
"39860814","(3, 8)","FamilyWithKids","Baseline",0.50219512195122
"39936339","(1, 2)","FamilyWithKids","Baseline",0.69949494949495
"39973308","(1, 2)","ActiveAdults","Baseline",0.523664122137405
"39977619","(3, 8)","FamilyWithKids","Baseline",0.696503496503497
"39981995","(3, 8)","FamilyWithKids","Baseline",0.446969696969697
"39994483","(3, 8)","FamilyWithKids","Baseline",0.723336998350742
"39999611","(3, 8)","ActiveAdults","Baseline",0.938405797101449
"40022328","(3, 8)","ActiveAdults","Baseline",0.752710027100271
"40023054","(3, 8)","FamilyWithKids","Baseline",0.798953201970443
"40053636","(1, 2)","ActiveAdults","Baseline",0.6
"40070326","(1, 2)","FamilyWithKids","Baseline",0.730218855218855
"40084053","(1, 2)","FamilyWithKids","Baseline",0.557391826923077
"40097852","(3, 8)","ActiveAdults","Baseline",0.640862068965517
"40108582","(3, 8)","ActiveAdults","Baseline",0
"40169462","(3, 8)","ActiveAdults","Baseline",0.579887218045113
"40182046","(3, 8)","FamilyWithKids","Baseline",0.706706981858164
"40196046","(3, 8)","ActiveAdults","Baseline",0.425
"40215452","(1, 2)","FamilyWithKids","Baseline",0.555425219941349
"40223973","(3, 8)","FamilyWithKids","Baseline",0.723304473304473
"40226426","(1, 2)","ActiveAdults","Baseline",0.623965517241379
"40232464","(1, 2)","ActiveAdults","Baseline",0.4921875
"40232955","(1, 2)","ActiveAdults","Baseline",0.808108108108108
"40248047","(1, 2)","FamilyWithKids","Baseline",0.694428152492669
"40254248","(1, 2)","ActiveAdults","Baseline",0.571487603305785
"40270915","(3, 8)","FamilyWithKids","Baseline",0.735067733990148
"40288817","(3, 8)","ActiveAdults","Baseline",0.630408653846154
"40292044","(1, 2)","ActiveAdults","Baseline",0.575544724770642
"40304196","(1, 2)","FamilyWithKids","Baseline",0.568468468468468
"40308501","(3, 8)","FamilyWithKids","Baseline",0.736551724137931
"40326822","(3, 8)","ActiveAdults","Baseline",0.575524475524475
"40347802","(3, 8)","FamilyWithKids","Baseline",0.525252525252525
"40348254","(1, 2)","FamilyWithKids","Baseline",0.682677567705672
"40350785","(1, 2)","FamilyWithKids","Baseline",0.588429752066116
"50282366","(3, 8)","ActiveAdults","Baseline",0.815648854961832
"50514112","(3, 8)","FamilyWithKids","Baseline",0
"50728612","(3, 8)","ActiveAdults","Baseline",0.651587301587302
"50745069","(3, 8)","FamilyWithKids","Baseline",0
"50800943","(1, 2)","FamilyWithKids","Baseline",0.723684210526316
"50836946","(3, 8)","ActiveAdults","Baseline",0.828747628083492
"50849946","(1, 2)","ActiveAdults","Baseline",0
"50967359","(3, 8)","FamilyWithKids","Baseline",0.837406015037594
"51078948","(3, 8)","ActiveAdults","Baseline",0.586496980155306
"51101589","(1, 2)","FamilyWithKids","Baseline",0.608471074380165
"51136114","(3, 8)","ActiveAdults","Baseline",0.602199413489736
"51136225","(1, 2)","FamilyWithKids","Baseline",0
"51274788","(3, 8)","ActiveAdults","Baseline",0.550381679389313
"51327660","(3, 8)","FamilyWithKids","Baseline",0.72841726618705
"51349560","(1, 2)","ActiveAdults","Baseline",0.628840970350404
"51376374","(1, 2)","FamilyWithKids","Baseline",0.787234042553191
"51480876","(3, 8)","ActiveAdults","Baseline",0.540723981900452
"53499938","(3, 8)","ActiveAdults","Baseline",0.711904761904762
"53814005","(1, 2)","FamilyWithKids","Baseline",0.657173645320197
"54246765","(3, 8)","ActiveAdults","Baseline",0.557407407407407
"54706275","(3, 8)","FamilyWithKids","Baseline",0.602199413489736
"55031571","(3, 8)","FamilyWithKids","Baseline",0.732905982905983
