"Customer","FamilyMembers","Lifestage","Model","f1"
"39860814","(3, 8)","FamilyWithKids","Baseline",0.0454545454545454
"39936339","(1, 2)","FamilyWithKids","Baseline",0.421052631578947
"39973308","(1, 2)","ActiveAdults","Baseline",0.125
"39977619","(3, 8)","FamilyWithKids","Baseline",0.416666666666667
"39981995","(3, 8)","FamilyWithKids","Baseline",0
"39994483","(3, 8)","FamilyWithKids","Baseline",0.584615384615385
"39999611","(3, 8)","ActiveAdults","Baseline",0.260869565217391
"40022328","(3, 8)","ActiveAdults","Baseline",0.523809523809524
"40023054","(3, 8)","FamilyWithKids","Baseline",0.63768115942029
"40053636","(1, 2)","ActiveAdults","Baseline",0.333333333333333
"40070326","(1, 2)","FamilyWithKids","Baseline",0.575342465753425
"40084053","(1, 2)","FamilyWithKids","Baseline",0.2
"40097852","(3, 8)","ActiveAdults","Baseline",0.4
"40108582","(3, 8)","ActiveAdults","Baseline",0
"40169462","(3, 8)","ActiveAdults","Baseline",0.181818181818182
"40182046","(3, 8)","FamilyWithKids","Baseline",0.54320987654321
"40196046","(3, 8)","ActiveAdults","Baseline",0
"40215452","(1, 2)","FamilyWithKids","Baseline",0.216216216216216
"40223973","(3, 8)","FamilyWithKids","Baseline",0.613333333333333
"40226426","(1, 2)","ActiveAdults","Baseline",0.382978723404255
"40232464","(1, 2)","ActiveAdults","Baseline",0
"40232955","(1, 2)","ActiveAdults","Baseline",0.676923076923077
"40248047","(1, 2)","FamilyWithKids","Baseline",0.524590163934426
"40254248","(1, 2)","ActiveAdults","Baseline",0.266666666666667
"40270915","(3, 8)","FamilyWithKids","Baseline",0.576271186440678
"40288817","(3, 8)","ActiveAdults","Baseline",0.347826086956522
"40292044","(1, 2)","ActiveAdults","Baseline",0.34375
"40304196","(1, 2)","FamilyWithKids","Baseline",0.27906976744186
"40308501","(3, 8)","FamilyWithKids","Baseline",0.515151515151515
"40326822","(3, 8)","ActiveAdults","Baseline",0.235294117647059
"40347802","(3, 8)","FamilyWithKids","Baseline",0.111111111111111
"40348254","(1, 2)","FamilyWithKids","Baseline",0.536585365853659
"40350785","(1, 2)","FamilyWithKids","Baseline",0.290909090909091
