CUSTOMER_ACCOUNT_NR_MASK,SUBCAT_CD_EXT,PROBABILITIES
408983,170301,
408983,140301,
408983,20301,
408983,50201,
408983,80411,
408983,170313,
408983,100101,
408983,70205,
408983,10302,
423754,170305,
423754,170313,
423754,70201,
423754,80404,
423754,30208,
423754,80401,
423754,140303,
423754,80405,
423754,80413,
423754,50203,
423754,10303,
423754,10302,
423754,70205,
423754,20301,
423754,70206,
423754,170309,
423754,10302,
423754,170301,
423754,170313,
423754,80407,
424026,20302,
424026,170309,
424026,80407,
424026,70204,
424026,140301,
424026,80408,
424026,20303,
424026,80406,
424026,140304,
424026,30208,
424026,100102,
424026,70205,
424026,140303,
424026,100101,
424026,80401,
424026,80411,
424026,170304,
424026,170313,
424026,20302,
424026,70203,
426355,20303,
426355,20301,
426355,80406,
426355,80408,
426355,50201,
426355,170301,
426355,10301,
427543,80415,
427543,70205,
427543,10303,
427543,70205,
427543,20302,
427543,140301,
427543,80404,
427543,70202,
427543,70204,
427543,70205,
427543,80414,
427543,50202,
427543,140304,
427543,70202,
427543,80409,
427543,80409,
427543,80408,
427543,50201,
427543,10302,
427543,70206,
434309,80407,
434309,20301,
434309,170301,
434309,170307,
434309,170313,
434309,80403,
434309,80402,
434309,170313,
434309,140302,
434309,80403,
434309,80415,
434309,170305,
434309,50202,
434309,170304,
434309,10302,
434309,140304,
434309,20303,
434309,70201,
434309,100101,
434309,10305,
440484,70204,
440484,100201,
440484,50203,
440484,80403,
440484,80404,
440484,30208,
440484,170310,
440484,140303,
440484,70205,
440484,170302,
440484,70201,
440484,170310,
440484,10301,
440484,30208,
440484,80414,
440484,80407,
440484,20302,
440484,140304,
440484,170305,
447602,30208,
447602,70205,
447602,80408,
447602,20304,
447602,170309,
447602,80405,
447602,140303,
447602,70201,
447602,170310,
447602,80415,
447602,50202,
447602,80404,
447602,10302,
447602,100102,
447602,50203,
447602,30208,
447602,80401,
447602,170310,
447602,80411,
447602,80404,
457300,170301,
457300,140304,
457300,80407,
457300,80403,
457300,70205,
457300,70202,
457300,140303,
457300,80407,
457300,140301,
457300,20303,
457300,80406,
457300,50203,
457300,80403,
457300,170309,
457300,80406,
457300,80413,
457300,50202,
457300,80407,
457300,140302,
457300,20303,
464995,170112,
464995,20303,
464995,20303,
464995,170303,
464995,80405,
464995,80415,
464995,170303,
464995,80404,
464995,170301,
464995,170310,
464995,80409,
464995,80402,
464995,170313,
464995,140301,
464995,80405,
464995,80404,
464995,80413,
464995,10303,
464995,100102,
464995,170303,
471864,140304,
471864,80411,
471864,80405,
471864,80408,
471864,100101,
471864,80414,
471864,80407,
471864,80408,
471864,80401,
471864,100101,
471864,170301,
471864,100101,
471864,70201,
471864,170313,
471864,80408,
471864,80404,
471864,30306,
476099,60405,
476099,50203,
476099,140301,
476099,50201,
476099,140304,
476099,20303,
476099,170307,
476099,80411,
476099,80414,
476099,70206,
476099,70205,
476099,80403,
476099,20301,
476099,80411,
476099,140304,
476099,30208,
476099,50202,
476099,100101,
476099,70204,
476099,170303,
481740,100205,
481740,80406,
481740,170303,
481740,170111,
481740,70203,
481740,170310,
481740,30208,
481740,80411,
481740,50201,
481740,100101,
481740,50202,
481740,70206,
481740,10305,
481740,80413,
481740,50201,
481740,80409,
481740,70204,
481740,140303,
481740,170304,
481740,170309,
489987,80413,
489987,30303,
489987,10305,
489987,80406,
489987,80401,
489987,170301,
489987,80404,
489987,170309,
489987,80414,
489987,10303,
489987,100101,
489987,170303,
489987,80405,
489987,80413,
489987,80409,
489987,140302,
489987,80414,
489987,170302,
489987,80409,
489987,80407,
493839,70202,
493839,140304,
493839,170305,
493839,170301,
493839,140303,
493839,80407,
493839,70201,
493839,20302,
493839,10305,
493839,70206,
493839,10303,
493839,140303,
493839,70206,
493839,50202,
493839,80402,
493839,70202,
493839,80403,
493839,80409,
493839,170303,
493839,70202,
507658,80401,
507658,80409,
507658,10301,
507658,100102,
507658,80403,
507658,100101,
507658,140302,
507658,80404,
507658,80403,
507658,80401,
507658,20301,
507658,80404,
507658,170309,
507658,170301,
507658,170305,
507658,80409,
507658,170302,
507658,70206,
507658,70205,
507658,70201,
509735,170309,
509735,50201,
509735,170302,
509735,140301,
509735,170309,
509735,170313,
509735,140301,
